"NEW.ID_PROG";"BIOGEOREF";"REGBIOGEO";"HABITAT";"BIOGEO_HAB";"ALT";"LON";"LAT"
"662";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";93;0,451818999995546;49,4873159999661
"663";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";63;-2,382222;47,988556
"667";"National";"Mediterraneen";"Terrestre";"National_Terrestre";149;5,252756;43,852836
"668";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";70;-0,00671;45,94808
"67";"National";"Mediterraneen";"Terrestre";"National_Terrestre";335;5,70018899999546;43,6846309999683
"672";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";11;-0,952247;45,769052
"676";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";194;-0,715;48,8196
"68";"National";"Continental";"STOC-rozo";"National_STOC-rozo";510;5,902717;46,140659
"683";"National";"Continental";"Terrestre";"National_Terrestre";116;8,128678;48,907142
"684";"National";"Atlantique_central";"Aquatique";"National_Aquatique";3;1,40158;50,056538
"686";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";82;1,816639;50,67475
"687";"National";"Continental";"Terrestre";"National_Terrestre";1058;6,104616;46,513989
"69";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";111;1,96111099999748;48,7188889999921
"693";"National";"Continental";"Terrestre";"National_Terrestre";229;5,900628;45,292019
"699";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";119;-1,019208;48,032767
"7";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";182;0,802848999995474;48,5099260000294
"700";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";67;3,771588;49,66654
"701";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";115;2,0925;48,828889
"71";"National";"Continental";"Terrestre";"National_Terrestre";816;3,99557700000009;45,5718840000269
"716";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";3;-1,058889;46,053056
"72";"National";"Continental";"Terrestre";"National_Terrestre";299;4,76060600000687;47,0334400000094
"73";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";70;0,0472180000013621;47,1837579999987
"75";"National";"Lusitanien";"STOC-rozo";"National_STOC-rozo";27;-1,93191999999786;47,2449650000361
"76";"National";"Continental";"Terrestre";"National_Terrestre";134;4,517233;48,385387
