"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2022;"Atlantique";2,53824626865672;2,88246268656716;3,26492537313433;3,64738805970149;3,99160447761194;"CARCHL"
1990;"Atlantique";2,74509803921569;2,74509803921569;2,74509803921569;2,74509803921569;2,74509803921569;"CARINA"
1991;"Atlantique";0,904411764705882;1,10294117647059;1,32352941176471;1,54411764705882;1,74264705882353;"CARINA"
1992;"Atlantique";1,69811320754717;1,69811320754717;1,69811320754717;1,69811320754717;1,69811320754717;"CARINA"
1994;"Atlantique";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"CARINA"
1997;"Atlantique";1,76470588235294;1,76470588235294;1,76470588235294;1,76470588235294;1,76470588235294;"CARINA"
1999;"Atlantique";1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;"CARINA"
2000;"Atlantique";2,89038461538462;2,94230769230769;3;3;3;"CARINA"
2001;"Atlantique";3,75625;3,8125;3,875;3,9375;3,99375;"CARINA"
2002;"Atlantique";0,917142857142857;1,55;2,25;3,04545454545455;4,825;"CARINA"
2003;"Atlantique";1,31944444444444;2,65;3;4,16666666666667;11,1818181818182;"CARINA"
2004;"Atlantique";0,914285714285714;1,4375;2,40384615384615;3,54395604395604;5,54356060606061;"CARINA"
2005;"Atlantique";1,26923076923077;1,73214285714286;2,40384615384615;2,85790598290598;5,95909090909091;"CARINA"
2006;"Atlantique";1,00892857142857;1,33928571428571;2,22527472527473;3,64510489510489;7,07386363636364;"CARINA"
2007;"Atlantique";1,02857142857143;2,15384615384615;2,4;2,63461538461538;2,96538461538462;"CARINA"
2008;"Atlantique";1,34423076923077;2,48181818181818;3,16666666666667;5,40909090909091;11,0375;"CARINA"
2009;"Atlantique";1,64890852390852;2,07142857142857;3,33333333333333;4,70769230769231;5,86363636363636;"CARINA"
2010;"Atlantique";2,30769230769231;2,48076923076923;3;3,25;6,71666666666667;"CARINA"
2011;"Atlantique";1,72973901098901;2,45192307692308;3,53061224489796;4,125;4,7475;"CARINA"
2012;"Atlantique";1,90384615384615;2,62616459627329;4;6,53731343283582;7,49935897435897;"CARINA"
2013;"Atlantique";1,6875;2,49188311688312;3,67132867132867;5,77985074626866;8,925;"CARINA"
2014;"Atlantique";1,9125;3,50735294117647;4,01923076923077;4,82142857142857;14,2666666666667;"CARINA"
2015;"Atlantique";1,94230769230769;2,64763140817651;3,21428571428571;5;5;"CARINA"
2016;"Atlantique";2,5;3;3,92857142857143;6;16,6666666666667;"CARINA"
2017;"Atlantique";2,11;3;3,76470588235294;6;11,8830845771144;"CARINA"
2018;"Atlantique";1,21978021978022;2,1;3,51492537313433;5,625;14,0625;"CARINA"
2019;"Atlantique";1,2797619047619;2,40384615384615;3;5,6865671641791;9;"CARINA"
2020;"Atlantique";1,44285714285714;2,64705882352941;4;6;8;"CARINA"
