"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
"FRICOE";2009;"AD";"Court";19,1111111111111;20,2357677902622;20,9756097560976;22,0529537286613;26,2050446428571;"Atlantique"
"PARCAE";2009;"AD";"Court";9,50389374999999;10;10,5;11,0604838709677;12,0013906527813;"Atlantique"
"PARMAJ";2009;"AD";"Court";15,3846153846154;16,5584415584415;17,1507969798658;17,9740256608142;19,1972216972217;"Atlantique"
"PASDOM";2009;"AD";"Court";23,7405827702703;26,1277593393022;27,7627777777778;28,6282051282052;35,8823515981735;"Atlantique"
"PHYCOL";2009;"AD";"Court";6,67924528301887;7,375;7,62931034482759;8,13793103448276;9,42525000000001;"Atlantique"
"PRUMOD";2009;"AD";"Court";17,5;18,7413247601552;19,4647832817338;20,3731343283582;22,2957977207977;"Atlantique"
"PYRULA";2009;"AD";"Court";19,388750349399;20,2756329113924;21,2;22,0815548780487;24,073125;"Atlantique"
"SYLATR";2009;"AD";"Court";14,7493288590604;16,2785234899329;17,1818181818181;18,3749999999999;21,3400409212028;"Atlantique"
"TROTRO";2009;"AD";"Court";8,16666666666667;9,12745098039218;9,79999999999996;10,2666666666667;11;"Atlantique"
"TURMER";2009;"AD";"Court";76,889312977099;85,0000000000003;88,7816014394964;91,8;102,204;"Atlantique"
"TURPHI";2009;"AD";"Court";57,5583429118774;64,0246913580247;67,280701754386;70,2085708178968;82,2340974903475;"Atlantique"
"AEGCAU";2010;"AD";"Court";7,32983870967743;7,76363636363636;7,9769230769231;8,3;9,16967741935484;"Atlantique"
"CETCET";2010;"AD";"Court";12,1061186186186;13,6822429906542;14,758064516129;15,741935483871;17;"Atlantique"
"ERIRUB";2010;"AD";"Court";15,071752688172;16,06;16,6712802768166;17,7430555555556;21,5765551643193;"Atlantique"
"FRICOE";2010;"AD";"Court";19,1181420454545;20,6781956050758;21,7284412671713;22,7356321839081;24,7046009036145;"Atlantique"
"PARCAE";2010;"AD";"Court";9,7011334721258;10,302033492823;10,6716417910448;11,2897444595206;12,1981907894737;"Atlantique"
"PARMAJ";2010;"AD";"Court";15,8609854491185;16,6799363057325;17,4828767123288;18,0379746835444;19,7939379699248;"Atlantique"
"PASDOM";2010;"AD";"Court";22,2362344954744;25,8298999591669;27,3232011992005;28,7170512820513;30,1719129554656;"Atlantique"
"PHYCOL";2010;"AD";"Court";6,27403057119871;7,24073154584575;7,57798165137615;8;9,73869057547957;"Atlantique"
