"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2009;"AD";"SYLATR";"Court";0;0;0;0,111455108359133;0,333333333333333;"Terrestre"
2010;"AD";"SYLATR";"Court";0;0;0,0344827586206897;0,115384615384615;0,255555555555556;"Terrestre"
2011;"AD";"SYLATR";"Court";0;0;0,0131578947368421;0,0947619047619048;0,240972222222222;"Terrestre"
2012;"AD";"SYLATR";"Court";0;0;0;0,0695812807881773;0,227083333333333;"Terrestre"
2013;"AD";"SYLATR";"Court";0;0;0;0,1;0,267613636363636;"Terrestre"
2014;"AD";"SYLATR";"Court";0;0;0;0,0833333333333333;0,204166666666667;"Terrestre"
2015;"AD";"SYLATR";"Court";0;0;0;0,0769230769230769;0,277083333333334;"Terrestre"
2016;"AD";"SYLATR";"Court";0;0;0,0166666666666667;0,111111111111111;0,25;"Terrestre"
2017;"AD";"SYLATR";"Court";0;0;0;0,0714285714285714;0,288571428571429;"Terrestre"
2018;"AD";"SYLATR";"Court";0;0;0,0666666666666667;0,160714285714286;0,301339285714285;"Terrestre"
2019;"AD";"SYLATR";"Court";0;0;0;0,0714285714285714;0,227884615384615;"Terrestre"
2020;"AD";"SYLATR";"Court";0;0;0,0625;0,121323529411765;0,340909090909091;"Terrestre"
2021;"AD";"SYLATR";"Court";0;0;0;0,0909090909090909;0,236538461538462;"Terrestre"
1989;"JUV";"SYLATR";"Court";0,001;0,01;0,02;0,0444827586206897;0,0665172413793104;"Terrestre"
1990;"JUV";"SYLATR";"Court";0;0;0;0,0285714285714286;0,153333333333333;"Terrestre"
1991;"JUV";"SYLATR";"Court";0;0;0;0,0161290322580645;0,123809523809524;"Terrestre"
1992;"JUV";"SYLATR";"Court";0;0;0,0222222222222222;0,0607142857142857;0,0977272727272727;"Terrestre"
1993;"JUV";"SYLATR";"Court";0;0;0;0,0339861751152074;0,119073275862069;"Terrestre"
1994;"JUV";"SYLATR";"Court";0;0;0;0;0,116666666666667;"Terrestre"
1995;"JUV";"SYLATR";"Court";0;0;0;0,0625;0,0881118881118881;"Terrestre"
1996;"JUV";"SYLATR";"Court";0;0;0;0;0,247899159663866;"Terrestre"
1997;"JUV";"SYLATR";"Court";0;0;0;0;0,0842105263157895;"Terrestre"
1998;"JUV";"SYLATR";"Court";0;0;0;0;0,123809523809524;"Terrestre"
