"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2022;"Terrestre";1,6125;2,03571428571429;2,41071428571429;3;4,71875;"ALCATT"
1989;"Terrestre";2,8;2,8;2,8;2,8;2,8;"ANTTRI"
1990;"Terrestre";0,923636363636364;1,05454545454545;1,2;1,4;1,58;"ANTTRI"
1991;"Terrestre";0,886488970588235;0,923713235294118;1,06875;1,3;1,57;"ANTTRI"
1992;"Terrestre";1,6;1,6;1,6;1,6;1,6;"ANTTRI"
1993;"Terrestre";0,653333333333333;1,13333333333333;1,66666666666667;1,7156862745098;1,75980392156863;"ANTTRI"
1994;"Terrestre";1,81014705882353;1,90147058823529;2,00294117647059;2,10441176470588;2,19573529411765;"ANTTRI"
1995;"Terrestre";0,609509803921569;0,695098039215686;0,790196078431373;0,885294117647059;0,970882352941177;"ANTTRI"
1996;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ANTTRI"
1997;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ANTTRI"
1998;"Terrestre";7,5;7,5;7,5;7,5;7,5;"ANTTRI"
1999;"Terrestre";0,563095238095238;0,630952380952381;0,706349206349206;0,781746031746032;0,849603174603175;"ANTTRI"
2000;"Terrestre";0,740740740740741;0,740740740740741;0,740740740740741;0,740740740740741;0,740740740740741;"ANTTRI"
2001;"Terrestre";1,53239488862924;1,99061555295907;2,49974962443666;3,24987481221833;3,92498748122183;"ANTTRI"
2002;"Terrestre";0,818181818181818;0,884520884520885;1,01010101010101;1,36904761904762;2,06547619047619;"ANTTRI"
2003;"Terrestre";1,07738095238095;1,13247863247863;1,66666666666667;2;2,3;"ANTTRI"
2004;"Terrestre";1,3;1,66666666666667;1,76470588235294;2,5;9,5;"ANTTRI"
2005;"Terrestre";1,68627450980392;1,875;2;2,5;7,28571428571429;"ANTTRI"
2006;"Terrestre";1,52916666666667;1,66666666666667;2,10591133004926;2,96875;9,765625;"ANTTRI"
2007;"Terrestre";1,23;1,5;1,875;2,14285714285714;4,21428571428572;"ANTTRI"
2008;"Terrestre";0,775;1,07142857142857;2,64705882352941;3;4,58076923076923;"ANTTRI"
2009;"Terrestre";1,01061776061776;2,22527472527473;2,4;3,30808080808081;4,83333333333333;"ANTTRI"
2010;"Terrestre";1,0875;1,29473684210526;1,62280701754386;2,66666666666667;4,3125;"ANTTRI"
2011;"Terrestre";3,43421052631579;5,16666666666667;6;6;7,275;"ANTTRI"
2012;"Terrestre";1,26428571428571;3;4,375;6;9,88125;"ANTTRI"
2013;"Terrestre";0,931547619047619;1,81547619047619;3,07142857142857;4,25;4,925;"ANTTRI"
2014;"Terrestre";1,30392857142857;2,64545454545455;4;5,390625;6,6484375;"ANTTRI"
2015;"Terrestre";1,36607142857143;2,5;2,75;4,31818181818182;24,225;"ANTTRI"
2016;"Terrestre";1,23786115569823;2,38061797752809;2,75;3;4,06071428571429;"ANTTRI"
2017;"Terrestre";1,55357142857143;2,26648351648352;3;3,24404761904762;5,53333333333333;"ANTTRI"
2018;"Terrestre";1,91517857142857;2,14285714285714;3;4,5;8,55;"ANTTRI"
2019;"Terrestre";1,6125;2,41071428571429;3;4,3125;7,2375;"ANTTRI"
2020;"Terrestre";1,55357142857143;2,41071428571429;3;3;3,17678571428571;"ANTTRI"
2021;"Terrestre";1,80580357142857;2,625;3;3,21428571428571;5,4;"ANTTRI"
2022;"Terrestre";1,63392857142857;1,875;2,14285714285714;4,28571428571429;6,21428571428571;"ANTTRI"
2001;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"CAPEUR"
2004;"Terrestre";1,66911764705882;1,69117647058824;1,7156862745098;1,74019607843137;1,76225490196078;"CAPEUR"
2005;"Terrestre";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"CAPEUR"
2008;"Terrestre";0,8625;1,125;1,41666666666667;1,70833333333333;1,97083333333333;"CAPEUR"
2009;"Terrestre";2,1;3;4;5;5,9;"CAPEUR"
2010;"Terrestre";1,10757992007992;1,43294205794206;1,79445554445554;2,15596903096903;2,48133116883117;"CAPEUR"
2011;"Terrestre";3;3;3;3;3;"CAPEUR"
2012;"Terrestre";3,675;9,75;16,5;23,25;29,325;"CAPEUR"
2013;"Terrestre";3;3;3;3;3;"CAPEUR"
2014;"Terrestre";1,10119047619048;1,36904761904762;1,66666666666667;2,33333333333333;2,93333333333333;"CAPEUR"
2015;"Terrestre";9;9;9;9;9;"CAPEUR"
2016;"Terrestre";1,37229904926534;1,58815903197926;1,82800345721694;2,06784788245462;2,28370786516854;"CAPEUR"
2017;"Terrestre";1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;"CAPEUR"
2018;"Terrestre";2,525;2,75;3;16,5;28,65;"CAPEUR"
2019;"Terrestre";1,40589887640449;1,92415730337079;2,5;16,25;28,625;"CAPEUR"
2020;"Terrestre";2,34230769230769;2,65384615384615;3;16,5;28,65;"CAPEUR"
2021;"Terrestre";2,5375;2,875;4,5;12;28,2;"CAPEUR"
2022;"Terrestre";2,31818181818182;2,41258741258741;2,51748251748252;2,62237762237762;2,71678321678322;"CAPEUR"
1989;"Terrestre";1,5;1,5;1,5;1,5;1,5;"CARCHL"
1990;"Terrestre";0,76875;0,9375;0,9375;1,17647058823529;5,90336134453782;"CARCHL"
1991;"Terrestre";1,77297794117647;1,84742647058824;2,30113636363636;3,92045454545455;7,14204545454545;"CARCHL"
1992;"Terrestre";0,568584905660377;0,591509433962264;0,9;1,32857142857143;1,67571428571429;"CARCHL"
1993;"Terrestre";1,25882352941176;2;3;3,27272727272727;11,8987012987013;"CARCHL"
1994;"Terrestre";0,617142857142857;0,771428571428571;0,942857142857143;1,11428571428571;1,26857142857143;"CARCHL"
1995;"Terrestre";0,658823529411765;1,29411764705882;2;2,60714285714286;3,15357142857143;"CARCHL"
1996;"Terrestre";0,902579365079365;1,02579365079365;1,32518796992481;1,6169028340081;1,71938259109312;"CARCHL"
1998;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"CARCHL"
1999;"Terrestre";1,74400921658986;2,01152073732719;2,30875576036866;2,60599078341014;2,87350230414747;"CARCHL"
2000;"Terrestre";0,600225225225225;0,845559845559846;0,952620967741935;1,81891025641026;2,83958333333333;"CARCHL"
2001;"Terrestre";1,59924812030075;1,90977443609023;2,30769230769231;2,9251012145749;3,30701754385965;"CARCHL"
2002;"Terrestre";0,827027027027027;1,225;1,81818181818182;2,36772486772487;8,60119047619048;"CARCHL"
2003;"Terrestre";0,960989010989011;2,16374269005848;2,8;4,64285714285714;17,2916666666667;"CARCHL"
2004;"Terrestre";1,08461538461538;1,69047619047619;2,31884057971015;5,55194805194805;9,45112781954887;"CARCHL"
2005;"Terrestre";0,908333333333333;2,32142857142857;3,21428571428571;4,70769230769231;6,37781954887218;"CARCHL"
2006;"Terrestre";1,05769230769231;1,625;4,11654135338346;6,875;9,53125;"CARCHL"
2007;"Terrestre";0,928571428571429;1,5;2,5;4;5,71428571428571;"CARCHL"
2008;"Terrestre";0,910714285714286;2,05172413793103;2,86363636363636;3,4375;4,625;"CARCHL"
2009;"Terrestre";0,905405405405405;2,25;2,72727272727273;3,33333333333333;7,5;"CARCHL"
2010;"Terrestre";0,926470588235294;2;2,62237762237762;3,08333333333333;12,9152960526316;"CARCHL"
2011;"Terrestre";1,84472049689441;2,69230769230769;3;3,875;4,93;"CARCHL"
2012;"Terrestre";0,9375;1,875;2,5;3;5,21194029850747;"CARCHL"
2013;"Terrestre";1,16477272727273;2,91322314049587;4,30769230769231;6,06716417910448;8,83138992537313;"CARCHL"
2014;"Terrestre";1,67692307692308;2,14285714285714;3,75;4,5;22,5;"CARCHL"
2015;"Terrestre";1,52960526315789;2,953125;3;5,39348710990502;21,25;"CARCHL"
2016;"Terrestre";1,26488095238095;2,0625;3,375;6,09183673469388;84,7916666666666;"CARCHL"
2017;"Terrestre";1,09615384615385;1,875;2,6865671641791;3;7,36764705882353;"CARCHL"
2018;"Terrestre";1,1043956043956;2,5;3,55555555555556;5;24;"CARCHL"
2019;"Terrestre";1,94713930348259;3,18181818181818;3,75;6,16666666666667;11,125;"CARCHL"
2020;"Terrestre";1,30714285714286;2,59831460674157;3;6,52941176470588;36,1666666666666;"CARCHL"
2021;"Terrestre";2,04642857142857;2,79545454545455;3;4,07967032967033;7,5234375;"CARCHL"
2022;"Terrestre";1,05;1,875;2,14285714285714;2,72727272727273;3,82388059701493;"CARCHL"
1989;"Terrestre";0,615;0,75;0,9;1,05;1,185;"CARINA"
1990;"Terrestre";2,40862745098039;2,48627450980392;2,57254901960784;2,65882352941176;2,73647058823529;"CARINA"
1991;"Terrestre";0,882352941176471;0,882352941176471;1,04117647058824;1,34117647058824;1,72235294117647;"CARINA"
1992;"Terrestre";1,21245283018868;1,32452830188679;1,44905660377359;1,57358490566038;1,68566037735849;"CARINA"
1993;"Terrestre";0,901960784313725;1,07843137254902;1,27450980392157;1,47058823529412;1,64705882352941;"CARINA"
